"p","omega","delta","mu_e","mu_ql","mu_el","mu_qn","mu_en","mu_qa","mu_ea","mu_h","beta_nh","beta_hl","beta_hn","lambda_l","lambda_n","lambda_a","alpha","f_l","f_n","f_a","kappa","c","Tf","obsprob","T_min_l","gamma","E0","QL0","EL_s0","EL_i0","QN_s0","QN_i0","EN_s0","EN_i0","QA_s0","QA_i0","EA0","H_s0","H_i0","LogLik"
2000,4.14166343143344,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.004841903009073,0.000351003713777,13.9830695173339,1660,0.981286539013725,0.973823942254489,0.766999265051623,1.77E-05,0.4,4,0.990518509892414,17.2023061765293,0.333333333333333,6441.84886659007,259.458453972209,1.90613902374368,334.103799607203,17.1905328375066,90.8250628711932,4.46154007041414,14.43082347196,1109.43135264357,212159.855502627,14430.2765012019,0.000137106233259,0.996915778682848,-1294.60501631203
2000,4.23807941561738,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.004841903009073,0.000351003713777,13.9830695173339,1660,0.991099404403862,0.97605302826504,0.767912355568533,1.85E-05,0.4,4,0.990518509892414,17.2095049828888,0.333333333333333,7209.41395715847,251.08486581224,1.95427849320603,330.829350666408,18.1394425804817,77.0171245641905,4.25471202401811,13.826543657799,955.983945929878,204065.642195463,18179.0661228376,0.000104907176361,0.997170008812792,-1294.60507212764
2000,4.35838736507975,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.005593999167639,0.000311873570179,9.16169403361158,1660,0.999999999999,0.771077029844895,0.954609939349613,1.95E-05,0.4,4,0.96647921644339,17.1662926895416,0.333333333333333,19967.6671274098,411.176426690635,16.5590460352664,309.809494107747,32.4118157061163,84.0532271279335,2.22289486470328,7.23161260487595,6309.00313556596,128699.061467606,19115.4339757219,0.000222288107529,0.992907927588462,-1294.6052550348
2000,4.436523388705,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.005593999167639,0.000311873570179,9.16169403361158,1660,0.999999999999,0.768886810044334,0.969217895479041,1.97E-05,0.4,4,0.96647921644339,17.1582013176306,0.333333333333333,16344.8232636718,419.249921106831,20.0301927719218,285.622656066287,32.189022117313,93.1976136808284,3.06220409828318,7.37904683041447,5719.41026073884,178379.821398653,21606.420801526,0.000133181701146,0.995593356472627,-1294.60542343668
2000,4.55464506652374,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.004169885547128,0.000540923679337,27.8028989160177,1660,0.957699124454952,0.52202465202058,0.985058378956785,7.28E-06,0.4,4,0.999439654323455,17.1101968875756,0.333333333333333,28741.6670245561,55.5277535917738,1.17716811559547,576.114274373117,14.8831523573549,66.488942609211,7.3242868135762,10.1994280744089,123.217485460433,59788.4034342165,34890.0428449896,0.000232257914023,0.995304026855753,-1294.60558485074
2000,4.61782849284317,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.004169885547128,0.000540923679337,27.8028989160177,1660,0.957699124454952,0.527244898540786,0.988267758077592,7.53E-06,0.4,4,0.999439654323455,17.1296208980365,0.333333333333333,25251.1838478275,52.5622357094832,1.2276455760593,564.668007104298,12.6901787316665,49.9209281425527,6.75525896639251,13.4299026818717,132.543236259842,63335.088605828,36403.6613258248,0.000275504517035,0.994939402197582,-1294.60559549485
2000,4.77838446511835,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.004169885547128,0.000540923679337,27.8028989160177,1660,0.957699124454952,0.570962360620329,0.921300201538557,8.19E-06,0.4,4,0.999439654323455,17.0972821659284,0.333333333333333,11486.8835720027,151.956726696319,1.77564548689856,523.1470959507,35.9018666392403,57.1105579250576,11.6020962826896,10.8296119024023,112.904706343831,68838.0572854672,33834.9716165881,0.0001298777016,0.997137468916302,-1294.60570634388
2000,4.89833162239244,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.004169885547128,0.000540923679337,27.8028989160177,1660,0.957699124454952,0.696646228238838,0.755382723465643,1E-05,0.4,4,0.876201169600866,17.0418807627458,0.333333333333333,69604.8751287305,26.9660141658403,0.853130233329702,467.589973732104,97.7883993697653,39.790768558557,5.34913145772795,8.34529155254724,167.850031770432,144312.909127973,13676.4354967075,6.59E-05,0.999190336537642,-1294.60574579464
2000,4.94630552497747,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.004169885547128,0.000540923679337,27.8028989160177,1660,0.957699124454952,0.703612690521226,0.754131958634661,1E-05,0.4,4,0.876201169600866,17.0496108029438,0.333333333333333,67451.9260090645,30.7395976344955,0.812818405209545,461.570260205492,97.2376694163738,38.8554595230743,5.4968058788105,8.06721652689312,151.328053441106,169747.152473786,13097.4673043969,8.72E-05,0.999061022319862,-1294.6059824643
2000,5.07546210401153,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.004169885547128,0.000540923679337,27.8028989160177,1660,0.997699124454952,0.601229272379303,0.835116986971856,8.66E-06,0.4,4,0.876201169600866,17.0131516321765,0.333333333333333,102951.555830756,41.655971979981,0.392363662224381,474.286165246925,32.432974221818,72.1906541474644,6.93212522436048,9.77051030325392,382.891889853465,177175.148195188,11374.282784185,6.29E-05,0.998716120419796,-1294.60599658978
